CalcLineID,FullKey,Weight,Notes,ShortKey,In FIN Data Flow,CalcandKey,Count
12,0000013544,1,ADD: Total DDA on Operations (incl. PPA),13544,Yes,1213544,1
12,0000013546,1,ADD: Total Impairment - PPP & Goodwill (GBC only),13546,Yes,1213546,1
12,0000013558,1,ADD: Profit/Loss on IFRS FVTE,13558,Yes,1213558,1
12,0000013574,1,ADD: CT Charge on Related Company Income,13574,Yes,1213574,1
12,0000013814,1,ADD: Special Items - Gross Margin,13814,Yes,1213814,1
12,0000013838,1,ADD: Special Items - Non Cash Cost Environment,13838,Yes,1213838,1
12,0000013839,1,ADD: Special Items - Other Income,13839,Yes,1213839,1
12,0000014247,1,ADD: NonCash CF Adj,14247,Yes,1214247,1
12,0000014253,1,ADD: P/L on IFRS FVTE (reversed),14253,Yes,1214253,1
12,0000014287,1,ADD: Other Non Cash Items Add Back Adj1,14287,Yes,1214287,1
12,0000014288,1,ADD: Other Non Cash Items Add Back Adj2,14288,Yes,1214288,1
12,0000014425,1,ADD: Underlift/overlift movement,14425,Yes,1214425,1
12,0000014545,1,ADD: Total Impairments (reversed),14545,Yes,1214545,1
12,0000014566,1,ADD: RoU Asset DD&A charge,14566,Yes,1214566,1
12,0000014567,1,ADD: RoU Asset DD&A capitalized,14567,Yes,1214567,1
12,0000014573,1,ADD: Lease Interest paid,14573,Yes,1214573,1
12,0000014597,1,ADD: Other Income - Leases partner recovery,14597,Yes,1214597,1
12,0000014619,1,ADD: Special Items - Non Cash Costs Forex,14619,Yes,1214619,1
12,0000014621,1,ADD: Special Items – Other Income Relco,14621,Yes,1214621,1
12,0000014622,1,ADD: Special Items – Cash Costs Other,14622,Yes,1214622,1
1,0000000080,1,ADD: Oil Production (mb/d),80,Yes,180,1
1,0000000190,1,ADD: NGL Production (mb/d),190,Yes,1190,1
1,0000014355,1,ADD: Bitumen Production (mb/d),14355,No,114355,1
3,0000000100,1,ADD: Calculated Oil Turnover (Oil TO),100,Yes,3100,1
3,0000000110,1,ADD: Oil TO Generated from Royalty Volumes,110,Yes,3110,1
3,0000000120,1,ADD: Oil TO Generated from Purchase for Resale,120,Yes,3120,1
3,0000000220,1,ADD: Calculated NGL Turnover (NGL TO),220,Yes,3220,1
3,0000000230,1,ADD: NGL TO Generated from Royalty Volumes,230,Yes,3230,1
3,0000000240,1,ADD: NGL TO Generated from Purchase for Resale,240,Yes,3240,1
3,0000000340,1,ADD: Calculated Gas Turnover (Gas TO),340,Yes,3340,1
3,0000000350,1,ADD: Gas TO Generated from Royalty Volumes,350,Yes,3350,1
3,0000000360,1,ADD: Gas TO Generated from Purchase for Resale,360,Yes,3360,1
3,0000000380,1,ADD: Tariff and Other Turnover,380,Yes,3380,1
3,0000000420,1,ADD: Purchases,420,Yes,3420,1
3,0000000430,1,ADD: Production Taxes Charged,430,Yes,3430,1
3,0000000440,1,ADD: Royalty Charged,440,Yes,3440,1
3,0000000450,1,ADD: Other Government Take Charged,450,Yes,3450,1
3,0000013814,1,ADD: Special Items - Gross Margin,13814,Yes,313814,1
3,0000014363,1,ADD: Calculated Dilbit Turnover (Dilbit TO),14363,No,314363,1
3,0000014364,1,ADD: Dilbit TO Generated from Royalty Volumes,14364,No,314364,1
3,0000014365,1,ADD: Dilbit TO Generated from Purchase or Resale,14365,No,314365,1
4,0000000850,1,ADD: Production Costs – Operating,850,Yes,4850,1
4,0000000870,1,ADD: Other Opex,870,Yes,4870,1
4,0000000880,1,ADD: Production Costs – Revex,880,Yes,4880,1
4,0000000890,1,ADD: E&A Cash Costs,890,Yes,4890,1
4,0000000900,1,ADD: Other Revex,900,Yes,4900,1
4,0000000910,1,ADD: Production Costs – Overheads,910,Yes,4910,1
4,0000000920,1,ADD: Overheads,920,Yes,4920,1
4,0000000921,1,ADD: Special Items - Cash Cost Ratex,921,Yes,4921,1
4,0000001730,1,ADD: M&T Cash Costs,1730,Yes,41730,1
4,0000014622,1,ADD: Special Items – Cash Costs Other,14622,Yes,414622,1
5,0000000850,1,ADD: Production Costs – Operating,850,Yes,5850,1
5,0000000880,1,ADD: Production Costs – Revex,880,Yes,5880,1
5,0000000910,1,ADD: Production Costs – Overheads,910,Yes,5910,1
6,0000013544,1,ADD: Total DDA on Operations (incl. PPA),13544,Yes,613544,1
6,0000014566,1,ADD: RoU Asset DD&A charge,14566,Yes,614566,1
6,0000014567,1,ADD: RoU Asset DD&A capitalized,14567,Yes,614567,1
7,0000000730,1,ADD: Related Company Income- Gross,730,Yes,7730,1
7,0000002920,1,ADD: Share of interest expense in Related Company,2920,Yes,72920,1
7,0000013574,1,ADD: CT Charge on Related Company Income,13574,Yes,713574,1
8,0000000100,1,ADD: Calculated Oil Turnover (Oil TO),100,Yes,8100,1
8,0000000110,1,ADD: Oil TO Generated from Royalty Volumes,110,Yes,8110,1
8,0000000120,1,ADD: Oil TO Generated from Purchase for Resale,120,Yes,8120,1
8,0000000220,1,ADD: Calculated NGL Turnover (NGL TO),220,Yes,8220,1
8,0000000230,1,ADD: NGL TO Generated from Royalty Volumes,230,Yes,8230,1
8,0000000240,1,ADD: NGL TO Generated from Purchase for Resale,240,Yes,8240,1
8,0000000340,1,ADD: Calculated Gas Turnover (Gas TO),340,Yes,8340,1
8,0000000350,1,ADD: Gas TO Generated from Royalty Volumes,350,Yes,8350,1
8,0000000360,1,ADD: Gas TO Generated from Purchase for Resale,360,Yes,8360,1
8,0000000380,1,ADD: Tariff and Other Turnover,380,Yes,8380,1
8,0000000420,1,ADD: Purchases,420,Yes,8420,1
8,0000000430,1,ADD: Production Taxes Charged,430,Yes,8430,1
8,0000000440,1,ADD: Royalty Charged,440,Yes,8440,1
8,0000000450,1,ADD: Other Government Take Charged,450,Yes,8450,1
8,0000000640,1,ADD: Forex,640,Yes,8640,1
8,0000000650,1,ADD: COSA,650,Yes,8650,1
8,0000000660,1,ADD: Inventory,660,Yes,8660,1
8,0000000670,1,ADD: Other Provisions,670,Yes,8670,1
8,0000000730,1,ADD: Related Company Income- Gross,730,Yes,8730,1
8,0000000850,1,ADD: Production Costs – Operating,850,Yes,8850,1
8,0000000870,1,ADD: Other Opex,870,Yes,8870,1
8,0000000880,1,ADD: Production Costs – Revex,880,Yes,8880,1
8,0000000890,1,ADD: E&A Cash Costs,890,Yes,8890,1
8,0000000900,1,ADD: Other Revex,900,Yes,8900,1
8,0000000910,1,ADD: Production Costs – Overheads,910,Yes,8910,1
8,0000000920,1,ADD: Overheads,920,Yes,8920,1
8,0000001730,1,ADD: M&T Cash Costs,1730,Yes,81730,1
8,0000002840,1,ADD: Other Income Input,2840,Yes,82840,1
8,0000002920,1,ADD: Share of interest expense in Related Company,2920,Yes,82920,1
8,0000013574,1,ADD: CT Charge on Related Company Income,13574,Yes,813574,1
8,0000014363,1,ADD: Calculated Dilbit Turnover (Dilbit TO),14363,No,814363,1
8,0000014364,1,ADD: Dilbit TO Generated from Royalty Volumes,14364,No,814364,1
8,0000014365,1,ADD: Dilbit TO Generated from Purchase or Resale,14365,No,814365,1
8,0000014425,1,ADD: Underlift/overlift movement,14425,Yes,814425,1
8,0000014597,1,ADD: Other Income - Leases partner recovery,14597,Yes,814597,1
9,0000000100,1,ADD: Calculated Oil Turnover (Oil TO),100,Yes,9100,1
9,0000000110,1,ADD: Oil TO Generated from Royalty Volumes,110,Yes,9110,1
9,0000000120,1,ADD: Oil TO Generated from Purchase for Resale,120,Yes,9120,1
9,0000000220,1,ADD: Calculated NGL Turnover (NGL TO),220,Yes,9220,1
9,0000000230,1,ADD: NGL TO Generated from Royalty Volumes,230,Yes,9230,1
9,0000000240,1,ADD: NGL TO Generated from Purchase for Resale,240,Yes,9240,1
9,0000000340,1,ADD: Calculated Gas Turnover (Gas TO),340,Yes,9340,1
9,0000000350,1,ADD: Gas TO Generated from Royalty Volumes,350,Yes,9350,1
9,0000000360,1,ADD: Gas TO Generated from Purchase for Resale,360,Yes,9360,1
9,0000000380,1,ADD: Tariff and Other Turnover,380,Yes,9380,1
9,0000000400,1,ADD: Total Turnover,400,No,9400,1
9,0000000420,1,ADD: Purchases,420,Yes,9420,1
9,0000000430,1,ADD: Production Taxes Charged,430,Yes,9430,1
9,0000000440,1,ADD: Royalty Charged,440,Yes,9440,1
9,0000000450,1,ADD: Other Government Take Charged,450,Yes,9450,1
9,0000000631,1,ADD: Exploration Write-off Dry Hole - Input,631,Yes,9631,1
9,0000000640,1,ADD: Forex,640,Yes,9640,1
9,0000000650,1,ADD: COSA,650,Yes,9650,1
9,0000000660,1,ADD: Inventory,660,Yes,9660,1
9,0000000670,1,ADD: Other Provisions,670,Yes,9670,1
9,0000000730,1,ADD: Related Company Income- Gross,730,Yes,9730,1
9,0000000850,1,ADD: Production Costs – Operating,850,Yes,9850,1
9,0000000870,1,ADD: Other Opex,870,Yes,9870,1
9,0000000880,1,ADD: Production Costs – Revex,880,Yes,9880,1
9,0000000890,1,ADD: E&A Cash Costs,890,Yes,9890,1
9,0000000900,1,ADD: Other Revex,900,Yes,9900,1
9,0000000910,1,ADD: Production Costs – Overheads,910,Yes,9910,1
9,0000000920,1,ADD: Overheads,920,Yes,9920,1
9,0000001730,1,ADD: M&T Cash Costs,1730,Yes,91730,1
9,0000002840,1,ADD: Other Income Input,2840,Yes,92840,1
9,0000002920,1,ADD: Share of interest expense in Related Company,2920,Yes,92920,1
9,0000008010,1,ADD: Exploration Write-off Dry Hole (BU Owned),8010,Yes,98010,1
9,0000010210,1,ADD: Impairment - Expl Leasehold,10210,Yes,910210,1
9,0000013544,1,ADD: Total DDA on Operations (incl. PPA),13544,Yes,913544,1
9,0000013574,1,ADD: CT Charge on Related Company Income,13574,Yes,913574,1
9,0000014363,1,ADD: Calculated Dilbit Turnover (Dilbit TO),14363,No,914363,1
9,0000014364,1,ADD: Dilbit TO Generated from Royalty Volumes,14364,No,914364,1
9,0000014365,1,ADD: Dilbit TO Generated from Purchase or Resale,14365,No,914365,1
9,0000014425,1,ADD: Underlift/overlift movement,14425,Yes,914425,1
9,0000014566,1,ADD: RoU Asset DD&A charge,14566,Yes,914566,1
9,0000014567,1,ADD: RoU Asset DD&A capitalized,14567,Yes,914567,1
9,0000014597,1,ADD: Other Income - Leases partner recovery,14597,Yes,914597,1
10,0000000630,1,ADD: Decommissioning Payments,630,Yes,10630,1
